character,frequency_hz,gain_db_abs,gain_db_rel_1k
Standard,10,-2.591760,-2.591769
Standard,10.4284,-2.477390,-2.477399
Standard,11.0485,-2.324624,-2.324633
Standard,11.7055,-2.176752,-2.176761
Standard,12.4016,-2.033658,-2.033667
Standard,13.139,-1.895265,-1.895274
Standard,13.9203,-1.761707,-1.761716
Standard,14.748,-1.633457,-1.633466
Standard,15.625,-1.510468,-1.510477
Standard,16.5541,-1.393025,-1.393034
Standard,17.5385,-1.281770,-1.281779
Standard,18.5814,-1.176151,-1.176160
Standard,19.6863,-1.076938,-1.076947
Standard,20.8569,-0.983778,-0.983787
Standard,22.0971,-0.896827,-0.896835
Standard,23.411,-0.815820,-0.815829
Standard,24.8031,-0.740749,-0.740758
Standard,26.278,-0.671467,-0.671475
Standard,27.8406,-0.607639,-0.607648
Standard,29.4961,-0.549098,-0.549107
Standard,31.25,-0.495315,-0.495324
Standard,33.1082,-0.446274,-0.446283
Standard,35.0769,-0.401567,-0.401576
Standard,37.1627,-0.360917,-0.360926
Standard,39.3725,-0.324325,-0.324334
Standard,41.7137,-0.290887,-0.290896
Standard,44.1942,-0.260922,-0.260931
Standard,46.8221,-0.233485,-0.233494
Standard,49.6063,-0.208468,-0.208477
Standard,52.556,-0.187206,-0.187214
Standard,55.6812,-0.167003,-0.167012
Standard,58.9921,-0.149047,-0.149055
Standard,62.5,-0.133167,-0.133176
Standard,66.2164,-0.118604,-0.118613
Standard,70.1539,-0.105704,-0.105713
Standard,74.3254,-0.094124,-0.094133
Standard,78.7451,-0.083796,-0.083804
Standard,83.4275,-0.074523,-0.074532
Standard,88.3883,-0.066320,-0.066329
Standard,93.6442,-0.058876,-0.058885
Standard,99.2126,-0.051853,-0.051862
Standard,105.112,-0.046313,-0.046322
Standard,111.362,-0.041056,-0.041065
Standard,117.984,-0.036370,-0.036378
Standard,125,-0.032170,-0.032179
Standard,132.433,-0.028436,-0.028445
Standard,140.308,-0.025014,-0.025023
Standard,148.651,-0.022135,-0.022144
Standard,157.49,-0.019376,-0.019385
Standard,166.855,-0.017050,-0.017059
Standard,176.777,-0.014936,-0.014945
Standard,187.288,-0.013103,-0.013112
Standard,198.425,-0.011392,-0.011401
Standard,210.224,-0.009851,-0.009860
Standard,222.725,-0.008582,-0.008591
Standard,235.969,-0.007444,-0.007453
Standard,250,-0.006295,-0.006304
Standard,264.866,-0.005394,-0.005403
Standard,280.616,-0.004602,-0.004611
Standard,297.302,-0.003863,-0.003872
