character,input_dbfs,output_dbfs,thd_percent
Standard,-40,-39.996734,0.018794
Standard,-36,-35.996742,0.029787
Standard,-32,-31.996762,0.047211
Standard,-28,-27.996811,0.074827
Standard,-24,-23.996934,0.118605
Standard,-20,-19.997244,0.188024
Standard,-16,-15.998023,0.298191
Standard,-12,-11.999993,0.471911
Standard,-8,-8.004965,0.750328
Standard,-4,-4.017601,1.202063
Standard,0,-0.050333,1.958144
Full,-40,-39.996132,0.018787
Full,-36,-35.996140,0.029776
Full,-32,-31.996160,0.047193
Full,-28,-27.996209,0.074798
Full,-24,-23.996334,0.118560
Full,-20,-19.996648,0.187953
Full,-16,-15.997437,0.298079
Full,-12,-11.999431,0.471739
Full,-8,-8.004463,0.750073
Full,-4,-4.017257,1.201734
Full,0,-0.050425,1.958005
